"name";"state";"Women";"American Indian / Alaska Native";"Asian";"Black";"Hispanic";"Native Hawaiian / Pacific Islander";"White";"Two Or More Races";"Unknown";"Non-Resident Foreign";"Total Minority";"total_enrollment";"early_career_pay";"mid_career_pay";"make_world_better_percent";"stem_percent";"type";"degree_length";"room_and_board";"in_state_tuition";"in_state_total";"out_of_state_tuition";"out_of_state_total";"On Campus";"Off Campus"
"Baylor College of Medicine";"Texas";818;9;401;58;156;2;731;0;8;219;626;1584;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Samuel Merritt University";"California";1171;3;436;60;207;16;652;122;75;9;844;1580;91200;154100;90;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Rasmussen College at Rockford (Ill.)";"Illinois";1313;14;34;361;110;5;914;40;102;0;564;1580;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Pittsburgh at Greensburg";"Pennsylvania";819;1;59;92;68;1;1250;44;43;20;265;1578;NA;NA;NA;NA;"Public";"4 Year";NA;13890;13890;25134;25134;NA;NA
"Wheeling Jesuit University";"West Virginia";889;4;19;70;31;2;1238;25;140;46;151;1575;NA;NA;NA;NA;"Private";"4 Year";9900;29290;39190;29290;39190;42290;36790
"Master's College and Seminary";"California";597;5;127;53;151;8;966;80;67;115;424;1572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Loras College";"Iowa";752;1;13;39;89;2;1305;22;70;28;166;1569;48000;90100;56;14;"Private";"4 Year";8275;34184;42459;34184;42459;45570;45570
"Northwest Iowa Community College";"Iowa";835;5;17;4;69;2;1397;18;55;1;115;1568;NA;NA;NA;NA;"Public";"2 Year";NA;5070;5070;5370;5370;18002;19972
"Le Cordon Bleu College of Culinary Arts at Scottsdale (Ariz.)";"Arizona";834;14;6;75;41;6;174;15;1235;1;157;1567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University ion Institute & U.";"Ohio";897;9;17;332;307;7;697;37;161;0;709;1567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Colorado Technical University at Colorado Springs";"Colorado";518;18;34;180;64;27;597;21;625;0;344;1566;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Shorter University";"Georgia";918;8;13;356;53;2;978;28;68;60;460;1566;45600;79900;55;6;"Private";"4 Year";9400;22370;31770;22370;31770;35130;40521
"University of Montana Helena College of Technology";"Montana";887;61;17;11;32;0;1312;44;87;0;165;1564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Albany College of Pharmacy and Health Sciences";"New York";932;4;228;59;63;2;987;16;86;118;372;1563;NA;NA;NA;NA;"Private";"4 Year";10920;35105;46025;35105;46025;49585;51585
"Bluefield State College";"West Virginia";968;4;3;156;17;0;1319;17;13;34;197;1563;NA;NA;NA;NA;"Public";"4 Year";NA;8820;8820;16920;16920;NA;23356
"Chicago School of Professional Psychology at Chicago";"Illinois";1273;3;89;191;174;2;969;15;59;59;474;1561;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Belmont Abbey College";"North Carolina";890;4;15;391;23;0;631;5;470;21;438;1560;NA;NA;NA;NA;"Private";"4 Year";10355;18500;28855;18500;28855;32894;31600
"Doane College at Lincoln";"Nebraska";1097;10;19;58;51;1;1237;109;74;0;248;1559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Southern Arkansas University Tech";"Arkansas";809;8;5;538;36;2;939;23;7;1;612;1559;NA;NA;NA;NA;"Public";"2 Year";2800;5250;8050;6690;9490;19270;24255
"Sampson Community College";"North Carolina";1034;44;9;333;363;3;752;14;24;9;766;1551;NA;NA;NA;NA;"Public";"2 Year";NA;2357;2357;8117;8117;NA;23083
"Albertus Magnus College";"Connecticut";1031;6;7;515;217;2;647;20;125;11;767;1550;49700;85900;62;2;"Private";"4 Year";13200;32060;45260;32060;45260;53124;53894
"Everest University -Pompano Beach Campus (Fla.)";"Florida";1187;3;10;995;146;2;282;49;60;1;1205;1548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DeVry University of New Jersey";"New Jersey";502;4;125;374;419;13;525;9;37;40;944;1546;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Vermont Technical College";"Vermont";716;11;18;23;23;0;1375;36;20;36;111;1542;52400;93900;41;4;"Public";"4 Year";10598;15108;25706;27780;38378;28356;28356
"Mills College";"California";1402;8;162;135;291;7;701;127;78;33;730;1542;NA;NA;NA;NA;"Private";"4 Year";13448;30257;43705;30257;43705;47784;49035
"Swarthmore College";"Pennsylvania";785;2;252;90;206;1;646;120;72;153;671;1542;67500;123200;44;45;"Private";"4 Year";15474;52588;68062;52588;68062;71167;NA
"Southwest Georgia Technical College";"Georgia";1033;7;10;509;22;1;961;16;10;5;565;1541;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Potomac State College of West Virginia University";"West Virginia";843;17;11;260;47;3;1164;7;25;6;345;1540;NA;NA;NA;NA;"Public";"2 Year";8524;4488;13012;11376;19900;16532;16348
"Hartwick College";"New York";936;6;31;120;107;0;1043;0;180;53;264;1540;NA;NA;NA;NA;"Private";"4 Year";12460;45510;57970;45510;57970;59370;52610
"Southwestern University (Tex.)";"Texas";893;6;50;70;297;3;993;39;10;70;465;1538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cedar Crest College";"Pennsylvania";1417;5;43;140;185;4;1017;13;91;33;390;1531;NA;NA;NA;NA;"Private";"4 Year";11544;39216;50760;39216;50760;53610;53260
"St. Augustine College (Ill.)";"Illinois";1222;1;23;29;1285;2;11;3;118;57;1343;1529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Florida Memorial University";"Florida";948;0;3;1101;71;0;9;10;142;192;1185;1528;NA;NA;NA;NA;"Private";"4 Year";7816;15536;23352;15536;23352;29812;33536
"Richard Bland College";"Virginia";1000;8;26;542;40;0;783;61;65;0;677;1525;NA;NA;NA;NA;"Public";"2 Year";12204;8100;20304;21810;34014;NA;NA
"Point University";"Georgia";847;3;9;571;51;2;655;72;147;12;708;1522;NA;NA;NA;NA;"Private";"4 Year";7900;20600;28500;20600;28500;30500;30400
"Saint Mary's College (Ind.)";"Indiana";1518;1;23;21;167;0;1180;44;55;28;256;1519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"State University of New York Upstate Medical U.";"New York";899;1;148;104;58;0;1049;31;58;67;342;1516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kendall College";"Illinois";1138;4;53;284;199;1;668;23;71;213;564;1516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Art Institute of Ft. Lauderdale";"Florida";830;2;18;263;535;1;279;1;414;1;820;1514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mount Washington CollegeNew";"Washington";954;8;18;109;298;3;1024;0;47;4;436;1511;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lawrence University";"Wisconsin";823;8;60;51;100;0;1068;59;7;158;278;1511;51500;98800;58;25;"Private";"4 Year";10341;47475;57816;47475;57816;60141;59889
"West Virginia Wesleyan College";"West Virginia";847;5;3;122;27;3;1205;43;31;72;203;1511;NA;NA;NA;NA;"Private";"4 Year";8856;31640;40496;31640;40496;46561;41705
"Institute of Technology (Clovis, Calif.)";"California";842;12;35;71;458;1;580;36;316;0;613;1509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Colby Community College";"Kansas";967;0;32;80;58;1;1073;0;230;34;171;1508;NA;NA;NA;NA;"Public";"2 Year";3704;3616;7320;5504;9208;14051;15420
"Ouachita Baptist University";"Arkansas";769;11;13;129;58;1;1251;0;1;37;212;1501;44100;80200;58;18;"Private";"4 Year";7880;26790;34670;26790;34670;38770;39120
"Virginia Wesleyan College";"Virginia";930;7;23;347;116;1;843;92;59;13;586;1501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Marietta College";"Ohio";643;2;20;69;38;0;1097;32;84;158;161;1500;51200;94300;57;45;"Private";"4 Year";11320;36040;47360;36040;47360;50154;43226
"University of Pittsburgh at Bradford";"Pennsylvania";810;4;26;155;72;1;1094;26;67;54;284;1499;NA;NA;NA;NA;"Public";"4 Year";9332;13900;23232;25144;34476;NA;NA
"Whitman College";"Washington";843;5;80;14;117;0;1090;85;49;58;301;1498;54600;102600;53;33;"Private";"4 Year";13174;51764;64938;51764;64938;68082;68082
"Massachusetts Maritime Academy";"Massachusetts";190;18;38;33;42;1;1321;10;27;7;142;1497;67900;117500;53;47;"Public";"4 Year";12675;9724;22399;26102;38777;27858;NA
"Nichols College";"Massachusetts";601;3;21;88;95;2;1230;44;0;12;253;1495;NA;NA;NA;NA;"Private";"4 Year";13950;34800;48750;34800;48750;52550;45600
"Argosy University Twin Cities";"Minnesota";1182;14;86;144;56;5;1160;1;27;0;306;1493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"South University at Savannah (Ga.)";"Georgia";1041;13;71;543;80;11;733;0;39;0;718;1490;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lackawanna College";"Pennsylvania";696;0;30;268;133;0;980;21;55;3;452;1490;NA;NA;NA;NA;"Private";"2 Year";10300;15450;25750;15450;25750;30460;26690
"Pennsylvania State University -Brandywine";"Pennsylvania";614;0;143;214;74;1;958;31;51;16;463;1488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Manchester University";"Indiana";794;2;61;86;67;0;1186;43;15;28;259;1488;46900;84700;56;10;"Private";"4 Year";9580;32758;42338;32758;42338;45026;43561
"Dine College";"Arizona";981;1467;6;2;2;0;10;0;1;0;1477;1488;NA;NA;NA;NA;"Public";"2 Year";4610;1410;6020;1410;6020;12000;14680
"Aspen University";"Colorado";822;10;122;128;45;2;461;29;691;0;336;1488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16692
"Washington Colle";"Washington";852;7;22;48;51;0;1086;33;95;143;161;1485;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Connecticut-Stamford";"Connecticut";786;2;117;168;309;2;660;38;101;88;636;1485;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33294;30372
"Chowan University";"North Carolina";764;8;3;1050;52;0;269;47;26;29;1160;1484;NA;NA;NA;NA;"Private";"4 Year";9400;24980;34380;24980;34380;37070;37070
"Keystone College";"Pennsylvania";876;4;11;86;94;3;1118;18;143;7;216;1484;NA;NA;NA;NA;"Private";"4 Year";11900;26920;38820;26920;38820;41970;39770
"American Career College at Ontario";"California";1160;3;112;118;861;23;221;118;27;0;1235;1483;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Elmira College";"New York";1030;9;26;53;40;0;1000;34;251;69;162;1482;NA;NA;NA;NA;"Private";"4 Year";12000;41900;53900;41900;53900;55050;45550
"New York Medical College";"New York";854;1;282;180;102;1;669;55;136;56;621;1482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kent State University at East Liverpool (Ohio)";"Ohio";998;3;14;95;38;2;1253;30;42;4;182;1481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cumberland University";"Tennessee";850;5;14;181;37;0;947;0;246;51;237;1481;45500;81000;61;3;"Private";"4 Year";9290;22890;32180;22890;32180;37990;39230
"National American University at Rapid City (S.D.)";"South Dakota";1120;58;8;529;54;7;713;89;21;0;745;1479;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Dickinson State University";"North Dakota";888;14;9;60;66;4;1167;38;41;80;191;1479;NA;NA;NA;NA;"Public";"4 Year";6898;6765;13663;9544;16442;18832;18832
"Frontier Nursing University";"Kentucky";1407;9;24;82;92;1;1175;37;57;1;245;1478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"West Coast University -Orange County";"California";1130;6;638;26;228;29;413;70;67;0;997;1477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Piedmont Community College";"North Carolina";926;4;4;435;57;0;917;29;23;6;529;1475;NA;NA;NA;NA;"Public";"2 Year";NA;2544;2544;8688;8688;NA;15204
"University of Phoenix-Albuquerque Campus";"New Mexico";862;20;9;50;669;4;163;47;481;30;799;1473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"California Institute of the Arts";"California";819;8;172;93;178;10;589;92;165;164;553;1471;NA;NA;NA;NA;"Private";"4 Year";12069;49276;61345;49276;61345;71135;75066
"Asbury Theological Seminary";"Kentucky";502;10;59;103;41;1;1017;18;143;78;232;1470;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Phoenix-Utah Campus";"Utah";649;4;17;16;95;15;711;62;533;16;209;1469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brookline College at Phoenix";"Arizona";1174;82;32;281;424;5;506;39;98;1;863;1468;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trocaire College";"New York";1270;18;26;203;43;2;1029;10;135;1;302;1467;NA;NA;NA;NA;"Private";"2 Year";NA;17650;17650;17650;17650;NA;27950
"South University at Columbia (S.C.)";"South Carolina";1142;17;46;901;63;8;380;0;49;0;1035;1464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kalamazoo College";"Michigan";827;2;86;76;135;3;885;70;85;119;372;1461;51600;94500;52;31;"Private";"4 Year";9756;48516;58272;48516;58272;61531;NA
"Presbyterian College";"South Carolina";845;4;45;199;28;1;1080;23;10;70;300;1460;NA;NA;NA;NA;"Private";"4 Year";10480;38660;49140;38660;49140;52910;52680
"Western Oklahoma State College";"Oklahoma";888;25;11;125;268;3;747;114;131;36;546;1460;NA;NA;NA;NA;"Public";"2 Year";5250;4250;9500;8605;13855;16622;19067
"College for Creative Studies";"Michigan";720;3;61;130;54;4;823;54;198;132;306;1459;51200;89800;40;0;"Private";"4 Year";8800;44110;52910;44110;52910;59610;59610
"Dordt College";"Iowa";672;3;13;22;12;103;1056;0;128;122;153;1459;51000;89600;57;17;"Private";"4 Year";9590;30870;40460;30870;40460;45070;46970
"Maharishi University of Management";"Iowa";479;3;25;94;43;0;262;22;10;995;187;1454;46800;85200;NA;65;"Private";"4 Year";7400;16530;23930;16530;23930;28730;28730
"Azusa Pacific Online University";"California";1011;6;97;228;495;17;464;37;109;1;880;1454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Texas State Technical College-West Texas";"Texas";577;5;12;67;544;5;800;0;20;0;633;1453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ferrum College";"Virginia";685;6;8;436;77;3;795;69;43;14;599;1451;43000;80600;54;6;"Private";"4 Year";11500;34175;45675;34175;45675;48530;48530
"Everglades University at Boca Raton (Fla.)";"Florida";759;9;31;248;228;4;845;69;16;1;589;1451;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pennsylvania College of Health Sciences";"Pennsylvania";1249;3;49;68;85;3;1174;8;57;0;216;1447;NA;NA;NA;NA;"Private";"4 Year";NA;27662;27662;27662;27662;NA;45412
"Southern Technical College at Orlando";"Florida";826;8;9;575;387;6;410;13;35;2;998;1445;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Edward Via College of Osteopathic Medicine";"Virginia";745;10;216;90;82;4;1018;0;23;1;402;1444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"College of the Ouachitas";"Arkansas";861;5;6;181;55;1;1149;42;4;1;290;1444;NA;NA;NA;NA;"Public";"2 Year";NA;3680;3680;6530;6530;NA;16898
"Carroll College";"Montana";839;18;21;11;71;4;1133;23;136;23;148;1440;48200;91400;55;25;"Private";"4 Year";9880;35486;45366;35486;45366;49696;49696
"Luna Community College";"New Mexico";775;10;7;15;975;6;401;7;19;0;1020;1440;NA;NA;NA;NA;"Public";"2 Year";NA;962;962;2426;2426;NA;12644
"University of Saint Mary";"Kansas";943;8;24;127;121;10;890;38;207;11;328;1436;49500;89700;61;6;NA;NA;NA;NA;NA;NA;NA;41870;40390
"Art Institute of California at Los Angeles";"California";605;2;24;47;558;6;91;14;694;0;651;1436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Coe College";"Iowa";805;3;33;71;109;1;1049;45;61;64;262;1436;47200;86900;41;24;"Private";"4 Year";9480;45000;54480;45000;54480;57200;57200
"Mars Hill University";"North Carolina";718;24;6;314;46;2;996;0;47;0;392;1435;NA;NA;NA;NA;"Private";"4 Year";9592;32968;42560;32968;42560;44460;44360
"Otero Junior College";"Colorado";852;16;9;40;386;5;828;44;52;54;500;1434;NA;NA;NA;NA;"Public";"2 Year";7112;4882;11994;7861;14973;17939;22818
"College of the Ozarks";"Missouri";733;7;7;16;28;0;1319;27;0;29;85;1433;NA;NA;NA;NA;"Private";"4 Year";7400;19360;26760;19360;26760;30220;31561
"Southeast Arkansas College";"Arkansas";1009;6;7;879;17;1;522;0;0;0;910;1432;NA;NA;NA;NA;"Public";"2 Year";NA;3850;3850;6730;6730;NA;15708
"Anna Maria College";"Massachusetts";802;3;21;105;79;3;1035;24;154;6;235;1430;NA;NA;NA;NA;"Private";"4 Year";14630;37860;52490;37860;52490;54090;46872
"Lyndon State College";"Vermont";613;13;11;49;48;1;1201;28;68;11;150;1430;41500;75100;49;8;"Public";"4 Year";10598;12074;22672;25394;35992;NA;NA
"Oglala Lakota College";"South Dakota";999;1361;1;0;6;1;53;0;5;0;1369;1427;NA;NA;NA;NA;"Public";"4 Year";NA;3560;3560;3560;3560;12034;15334
"Waldorf College";"Iowa";522;7;11;239;105;9;976;19;18;42;390;1426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arkansas Northeastern College";"Arkansas";939;5;8;422;53;1;915;21;0;0;510;1425;NA;NA;NA;NA;"Public";"2 Year";NA;2450;2450;4250;4250;NA;16190
"University of Hawaii Kauai Community College";"Hawaii";867;1;398;13;159;113;250;469;6;15;1153;1424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Reinhardt University";"Georgia";691;5;9;253;83;0;994;0;76;2;350;1422;NA;NA;NA;NA;"Private";"4 Year";10200;23300;33500;23300;33500;40700;39300
"University of Sioux Falls";"South Dakota";868;4;8;46;17;2;1272;48;13;9;125;1419;NA;NA;NA;NA;"Private";"4 Year";7350;18280;25630;18280;25630;30230;32220
"Art Institute of California-Orange County";"California";663;6;114;35;561;13;234;41;410;3;770;1417;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"American Career College at Anaheim";"California";1028;4;253;75;724;40;199;114;5;1;1210;1415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Art Institute of Colorado";"Colorado";665;16;18;61;303;1;463;20;532;0;419;1414;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"La Roche College";"Pennsylvania";795;1;15;93;22;0;856;14;224;187;145;1412;NA;NA;NA;NA;"Private";"4 Year";11556;28564;40120;28564;40120;43750;41094
"Central College";"Iowa";736;5;15;26;44;2;1244;14;43;18;106;1411;49000;88800;55;36;"Private";"4 Year";10280;37295;47575;37295;47575;52098;52098
"College of Saint Elizabeth";"New Jersey";1259;4;50;313;208;2;585;19;190;40;596;1411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52548;51382
"Trinity Christian College";"Illinois";931;7;25;147;154;2;945;21;52;53;356;1406;NA;NA;NA;NA;"Private";"4 Year";9790;30650;40440;30650;40440;43865;41825
"Thomas College (Me.)";"Maine";768;5;10;32;20;0;1045;85;178;29;152;1404;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Southern Nevada";"Nevada";739;4;472;52;59;13;696;64;41;3;664;1404;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Johnson C. Smith University";"North Carolina";857;1;2;1031;85;4;6;31;202;40;1154;1402;NA;NA;NA;NA;"Private";"4 Year";7100;18236;25336;18236;25336;NA;NA
"Heald College at Honolulu";"Hawaii";848;4;404;71;36;248;70;197;371;0;960;1401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Knox College";"Illinois";813;3;77;110;175;0;743;56;56;179;421;1399;50600;95400;45;24;"Private";"4 Year";9870;46554;56424;46554;56424;58324;58324
"Olney Central College";"Illinois";861;3;14;17;19;0;1323;20;2;0;73;1398;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18764
"Alabama Southern Community College";"Alabama";853;13;7;608;7;0;742;10;10;1;645;1398;NA;NA;NA;NA;"Public";"2 Year";NA;4440;4440;8880;8880;NA;NA
"Alma College";"Michigan";764;9;21;46;51;1;1162;36;56;14;164;1396;48400;89900;52;15;"Private";"4 Year";10998;40258;51256;40258;51256;54270;54270
"Randolph-Macon College";"Virginia";759;4;27;123;59;0;1068;56;25;32;269;1394;NA;NA;NA;NA;"Private";"4 Year";11860;41400;53260;41400;53260;55860;54790
"Clarendon College";"Texas";807;20;3;78;283;1;883;3;109;14;388;1394;NA;NA;NA;NA;"Public";"2 Year";4176;5250;9426;7560;11736;13140;15543
"Reed College";"Oregon";745;4;80;26;146;3;813;113;94;115;372;1394;56100;104900;44;26;"Private";"4 Year";14210;56340;70550;56340;70550;73207;70337
"Arkansas State University at Mountain Home";"Arkansas";862;16;3;9;38;0;1245;59;23;0;125;1393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Johnson & Wales University at Denver";"Colorado";840;12;22;107;224;1;796;76;142;11;442;1391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Wright Career College";"Kansas";1078;103;82;599;196;0;409;0;2;0;980;1391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Converse College";"South Carolina";1273;0;4;100;56;0;672;38;502;17;198;1389;NA;NA;NA;NA;"Private";"4 Year";10930;18690;29620;18690;29620;34230;35640
"Centre College";"Kentucky";718;0;46;64;32;2;1109;42;6;86;186;1387;49500;88500;52;22;"Private";"4 Year";10480;41700;52180;41700;52180;55420;53320
"Mount Mary University";"Wisconsin";1333;6;68;227;135;3;884;45;12;5;484;1385;NA;NA;NA;NA;"Private";"4 Year";8600;30100;38700;30100;38700;46402;44614
"Carrington College California at Sacramento";"California";1215;16;140;154;344;29;516;71;115;0;754;1385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pratt Community College";"Kansas";783;13;15;144;63;2;978;105;47;16;342;1383;NA;NA;NA;NA;"Public";"2 Year";5641;3428;9069;3728;9369;13766;17520
"Touro University California";"California";809;4;601;57;71;9;501;46;89;0;788;1378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Art Institute of Seattle";"Washington";619;1;14;2;176;0;62;0;1123;0;193;1378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Valley City State University";"North Dakota";817;12;7;43;58;2;1156;37;18;45;159;1378;NA;NA;NA;NA;"Public";"4 Year";6446;7626;14072;17166;23612;18750;18981
"Spring Hill College";"Alabama";820;10;16;210;77;1;947;45;41;29;359;1376;46600;89100;53;12;"Private";"4 Year";13462;39464;52926;39464;52926;57676;61080
"Hampshire College";"Massachusetts";815;1;31;53;133;1;933;80;75;69;299;1376;NA;NA;NA;NA;"Private";"4 Year";13606;51668;65274;51668;65274;67174;65174
"University of Montana Western";"Montana";778;25;13;13;48;5;1186;15;70;0;119;1375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Western International University";"Arizona";855;19;17;171;185;7;634;108;212;21;507;1374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Northern New Mexico College";"New Mexico";830;111;13;26;974;2;179;53;11;2;1179;1371;NA;NA;NA;NA;"Public";"4 Year";NA;4765;4765;4765;4765;NA;18648
"MedTech Institute at Falls Church (Va.)";"Virginia";1167;8;35;625;623;0;20;51;9;0;1342;1371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Midwestern Baptist Theological Seminary";"Missouri";250;4;139;91;44;0;876;14;106;95;292;1369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20256;24771
"Colby-Sawyer College";"New Hampshire";949;3;21;88;41;1;860;7;209;139;161;1369;NA;NA;NA;NA;"Private";"4 Year";14264;42398;56662;42398;56662;59662;58576
"Midland University";"Nebraska";683;5;10;68;38;6;878;92;200;65;219;1362;43800;78100;60;7;"Private";"4 Year";8776;32558;41334;32558;41334;44278;44278
"Washington & Jefferson CollegePe";"Washington";670;5;33;44;39;1;1109;36;35;60;158;1362;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Phoenix-Michigan";"Michigan";1005;7;14;605;31;3;214;43;443;1;703;1361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"St. Louis College of Pharmacy";"Missouri";815;5;293;70;10;2;836;16;102;27;396;1361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47342;49911
"University of Arkansas Community College at Hope";"Arkansas";916;11;5;443;89;1;809;2;0;0;551;1360;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hendrix College";"Arkansas";746;22;77;65;65;1;1037;9;6;76;239;1358;48100;90300;58;33;"Private";"4 Year";12284;45790;58074;45790;58074;63174;60176
"Bryan University at Los Angeles";"California";917;11;24;291;181;10;726;109;6;0;626;1358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Phoenix-Virginia";"Virginia";595;8;7;421;89;5;247;78;484;18;608;1357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18832
"Lycoming College";"Pennsylvania";724;2;13;95;60;0;1025;34;63;61;204;1353;NA;NA;NA;NA;"Private";"4 Year";12568;40315;52883;40315;52883;56155;53037
"Wiley College";"Texas";764;2;2;1146;89;1;21;0;0;90;1240;1351;NA;NA;NA;NA;"Private";"4 Year";7084;13152;20236;13152;20236;23906;23819
"Frank Phillips College";"Texas";778;64;5;61;182;1;1001;0;21;13;313;1348;NA;NA;NA;NA;"Public";"2 Year";5040;2838;7878;3850;8890;13087;15214
"Southeastern Community College (N.C.)";"North Carolina";859;78;2;296;66;4;869;0;33;0;446;1348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oklahoma Wesleyan University";"Oklahoma";848;97;5;88;96;3;885;55;40;76;344;1345;43300;78700;58;1;"Private";"4 Year";8644;26956;35600;26956;35600;40306;40306
"Klamath Community College";"Oregon";782;67;23;19;167;7;930;0;121;9;283;1343;NA;NA;NA;NA;"Public";"2 Year";NA;5496;5496;8714;8714;NA;18331
"Baker College of Cadillac";"Michigan";948;7;4;4;17;0;1288;14;6;0;46;1340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trenholm State Technical College";"Alabama";665;0;17;783;13;0;517;4;3;1;817;1338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
