"name";"state";"Women";"American Indian / Alaska Native";"Asian";"Black";"Hispanic";"Native Hawaiian / Pacific Islander";"White";"Two Or More Races";"Unknown";"Non-Resident Foreign";"Total Minority";"total_enrollment";"early_career_pay";"mid_career_pay";"make_world_better_percent";"stem_percent";"type";"degree_length";"room_and_board";"in_state_tuition";"in_state_total";"out_of_state_tuition";"out_of_state_total";"On Campus";"Off Campus"
"University of Pittsburgh main campus";"Pennsylvania";14902;17;2188;1393;835;11;19623;733;895;2922;5177;28617;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Palm Beach State College";"Florida";16133;49;808;6676;7698;55;10863;574;1291;503;15860;28517;NA;NA;NA;NA;"Public";"2 Year";NA;3030;3030;10890;10890;NA;16244
"University of Nevada at Las Vegas";"Nevada";15804;94;4054;2137;6482;366;11278;2308;629;1167;15441;28515;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"El Paso Community College";"Texas";16097;97;196;680;24203;43;2215;10;316;548;25229;28308;NA;NA;NA;NA;"Public";"2 Year";NA;3540;3540;6060;6060;NA;17989
"Pima Community College";"Arizona";15003;656;802;1205;11576;86;11823;901;836;185;15226;28070;NA;NA;NA;NA;"Public";"2 Year";NA;2670;2670;9315;9315;NA;16408
"Collin College";"Texas";15620;124;2396;3383;5191;80;14788;926;213;890;12100;27991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Illinois at Chicago";"Illinois";15010;29;5229;2194;5435;63;11211;618;594;2596;13568;27969;56300;103800;48;31;"Public";"4 Year";12074;13764;25838;26980;39054;30866;29692
"San Jacinto College-Central Campus";"Texas";15561;47;1370;2693;13794;35;7960;589;925;498;18528;27911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of New Mexico";"New Mexico";15375;1421;912;682;11308;45;10762;854;571;1289;15222;27844;NA;NA;NA;NA;"Public";"4 Year";9864;5445;15309;26845;36709;NA;NA
"Northern Arizona University";"Arizona";16316;838;468;888;5368;62;17280;1337;218;1246;8961;27705;49600;90000;56;12;"Public";"4 Year";10282;11564;21846;25828;36110;27266;27538
"Portland State University";"Oregon";14811;376;2024;886;2664;164;16493;1314;1446;2329;7428;27696;50800;90500;48;16;"Public";"4 Year";10428;9105;19533;27060;37488;26085;26085
"University ah State U.";"Utah";14958;491;291;234;1528;81;21932;474;1828;803;3099;27662;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tidewater Community College";"Virginia";16435;153;1099;9335;1986;189;13252;1295;231;106;14057;27646;NA;NA;NA;NA;"Public";"2 Year";NA;5561;5561;11489;11489;NA;21089
"University of Wisconsin at Milwaukee";"Wisconsin";14575;119;1581;2169;2154;21;19084;843;61;1564;6887;27596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Columbia University";"New York";13993;69;3474;1411;2188;27;9585;734;1781;8320;7903;27589;NA;NA;NA;NA;"Private";"4 Year";14016;59985;74001;59985;74001;NA;NA
"Wayne State University";"Michigan";15409;82;2057;4881;983;35;15004;689;1572;2275;8727;27578;50800;91700;53;21;"Public";"4 Year";10427;13347;23774;28241;38668;27157;28919
"East Carolina University";"North Carolina";16451;181;782;4359;1498;26;19058;788;567;252;7634;27511;NA;NA;NA;NA;"Public";"4 Year";9606;7188;16794;23465;33071;21672;21672
"Hillsborough Community College";"Florida";15559;123;769;4757;6966;50;9857;626;3326;824;13291;27298;NA;NA;NA;NA;"Public";"2 Year";NA;3132;3132;11388;11388;16666;16666
"University of Oklahoma at Norman";"Oklahoma";13323;1078;1352;1432;2196;38;16363;1723;1081;1998;7819;27261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of North Carolina at Charlotte";"North Carolina";13477;81;1343;4410;2000;30;16102;856;723;1693;8720;27238;NA;NA;NA;NA;"Public";"4 Year";11100;7044;18144;20478;31578;23694;22023
"University of Kansas";"Kansas";13950;142;1081;1133;1554;22;19137;1096;579;2436;5028;27180;53000;98600;52;16;"Public";"4 Year";10350;11148;21498;27358;37708;26566;25042
"Cuyahoga Community College";"Ohio";16290;160;616;8129;1329;0;14357;636;1395;462;10870;27084;NA;NA;NA;NA;"Public";"2 Year";NA;3436;3436;8136;8136;NA;NA
"Central Michigan University";"Michigan";15307;181;317;3016;901;24;19659;604;1067;1110;5043;26879;47700;83600;46;13;"Public";"4 Year";10076;12960;23036;12960;23036;24889;23720
"Central New Mexico Community College";"New Mexico";15081;1848;565;767;12734;71;8309;611;890;976;16596;26771;NA;NA;NA;NA;"Public";"2 Year";NA;1626;1626;7338;7338;NA;13024
"Pasadena City College";"California";13849;28;6150;1200;12963;33;2460;2523;266;988;22897;26611;NA;NA;NA;NA;"Public";"2 Year";NA;1440;1440;9180;9180;NA;21112
"City University of New York Borough of Manhattan Community College";"New York";15211;75;3083;7190;11656;105;2533;406;0;1558;22515;26606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Suffolk County Community College Central Administration";"New York";14058;83;755;2076;4756;15;13767;149;4914;85;7834;26600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Connecticut";"Connecticut";13359;41;2320;1353;1928;16;15600;597;1986;2700;6255;26541;59100;105200;48;24;"Public";"4 Year";12874;15730;28604;38098;50972;32404;32404
"Drexel University";"Pennsylvania";13833;40;3083;2055;1424;108;14559;691;1100;3299;7401;26359;61700;114800;47;28;"Private";"4 Year";14079;53279;67358;53279;67358;70223;70223
"University of Arkansas at Fayetteville";"Arkansas";13395;323;649;1330;1666;22;19813;778;131;1525;4768;26237;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oklahoma State University at Stillwater";"Oklahoma";12577;1231;419;1140;1344;19;17717;1894;244;1954;6047;25962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Weber State University";"Utah";13866;95;317;320;2430;98;12902;425;8964;403;3685;25954;53900;94000;60;8;"Public";"4 Year";6279;5831;12110;16585;22864;20511;20511
"Auburn University";"Alabama";12798;183;601;1886;599;0;20855;0;361;1427;3269;25912;54400;104500;51;31;"Public";"4 Year";13332;11276;24608;30524;43856;31590;31590
"Kennesaw State University";"Georgia";14933;60;861;4845;1862;39;15708;1018;773;548;8685;25714;52500;94600;46;22;"Public";"4 Year";11467;7432;18899;21158;32625;25773;25773
"George Washington University District o";"Washington";14603;61;2254;2227;1603;38;13430;561;1769;3670;6744;25613;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Montgomery College";"Maryland";13455;79;2849;7255;5440;72;6709;616;40;2457;16311;25517;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30186
"Florida State College at Jacksonville";"Florida";15280;79;913;6481;1725;127;12470;563;2943;213;9888;25514;NA;NA;NA;NA;"Public";"2 Year";NA;3146;3146;12038;12038;14589;14674
"Grand Valley State University";"Michigan";14961;95;476;1290;1090;13;20877;744;108;401;3708;25094;NA;NA;NA;NA;"Public";"4 Year";8690;12484;21174;17762;26452;24948;21904
"Fullerton College";"California";12852;71;3403;792;13042;95;5711;788;855;294;18191;25051;NA;NA;NA;NA;"Public";"2 Year";NA;1445;1445;9185;9185;NA;18643
"University of Nebraska at Lincoln";"Nebraska";11944;57;564;625;1148;16;18914;585;612;2485;2995;25006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Old Dominion University";"Virginia";13718;89;995;5980;1578;98;13037;1319;1016;820;10059;24932;50200;89900;52;19;"Public";"4 Year";11620;10872;22492;29772;41392;26456;26456
"Palomar College";"California";11206;224;1643;773;9586;141;10440;1102;750;255;13469;24914;NA;NA;NA;NA;"Public";"2 Year";NA;1430;1430;9170;9170;NA;21282
"University of Pennsylvania";"Pennsylvania";13067;21;3717;1483;1799;8;11248;777;1194;4559;7805;24806;72800;133900;41;21;"Private";"4 Year";15616;55584;71200;55584;71200;74408;74408
"Kansas State University";"Kansas";12216;94;381;954;1419;36;18549;695;391;2247;3579;24766;52500;97200;51;18;"Public";"4 Year";9680;10263;19943;25767;35447;24923;23167
